"Number" "Pack" "Age" "Course" "Year" "Temperature" "Windspeed" "Distance" "Elevation" "Response"
"1" 349 "M" "Msen" "Gosforth" 2018 7 20 6.03 "244" 33
"2" 92 "F" "Msen" "Gosforth" 2018 7 20 6.03 "244" 31.6666666666667
"3" 540 "M" "Msen" "Gosforth" 2018 7 20 6.03 "244" 34.7333333333333
"4" 1280 "S" "MV55" "Gosforth" 2018 7 20 6.03 "244" 37.35
"5" 902 "S" "MU20" "Gosforth" 2018 7 20 6.03 "244" 37.4
"6" 1650 "S" "MU20" "Gosforth" 2018 7 20 6.03 "244" 37.5
"7" 1693 "M" "Msen" "Gosforth" 2018 7 20 6.03 "244" 35.0333333333333
"8" 148 "M" "MV40" "Gosforth" 2018 7 20 6.03 "244" 35.2166666666667
"9" 350 "F" "Msen" "Gosforth" 2018 7 20 6.03 "244" 32.7333333333333
"10" 378 "M" "Msen" "Gosforth" 2018 7 20 6.03 "244" 35.3
"11" 452 "M" "Msen" "Gosforth" 2018 7 20 6.03 "244" 35.3333333333333
"12" 394 "M" "Msen" "Gosforth" 2018 7 20 6.03 "244" 35.35
"13" 1376 "S" "Msen" "Gosforth" 2018 7 20 6.03 "244" 37.85
"14" 1630 "F" "Msen" "Gosforth" 2018 7 20 6.03 "244" 32.8666666666667
"15" 1643 "F" "Msen" "Gosforth" 2018 7 20 6.03 "244" 32.95
"16" 992 "S" "MV40" "Gosforth" 2018 7 20 6.03 "244" 38.0333333333333
"17" 828 "F" "Msen" "Gosforth" 2018 7 20 6.03 "244" 33.0833333333333
"18" 1713 "F" "Msen" "Gosforth" 2018 7 20 6.03 "244" 33.2166666666667
"19" 25 "S" "Msen" "Gosforth" 2018 7 20 6.03 "244" 38.2333333333333
"20" 402 "M" "MV35" "Gosforth" 2018 7 20 6.03 "244" 35.7833333333333
"21" 676 "S" "MV35" "Gosforth" 2018 7 20 6.03 "244" 38.3666666666667
"22" 1471 "M" "Msen" "Gosforth" 2018 7 20 6.03 "244" 35.8666666666667
"23" 556 "M" "MU20" "Gosforth" 2018 7 20 6.03 "244" 35.9333333333333
"24" 1457 "S" "MV40" "Gosforth" 2018 7 20 6.03 "244" 38.4833333333333
"25" 749 "S" "MV40" "Gosforth" 2018 7 20 6.03 "244" 38.5166666666667
"26" 562 "S" "MV35" "Gosforth" 2018 7 20 6.03 "244" 38.5333333333333
"27" 173 "M" "MU20" "Gosforth" 2018 7 20 6.03 "244" 36.05
"28" 1555 "F" "MV40" "Gosforth" 2018 7 20 6.03 "244" 33.5666666666667
"29" 1422 "M" "Msen" "Gosforth" 2018 7 20 6.03 "244" 36.1
"30" 377 "M" "MV40" "Gosforth" 2018 7 20 6.03 "244" 36.15
"31" 1007 "M" "MV35" "Gosforth" 2018 7 20 6.03 "244" 36.2
"32" 638 "F" "Msen" "Gosforth" 2018 7 20 6.03 "244" 33.85
"33" 946 "M" "MV40" "Gosforth" 2018 7 20 6.03 "244" 36.4166666666667
"34" 646 "S" "Msen" "Gosforth" 2018 7 20 6.03 "244" 38.9333333333333
"35" 564 "S" "MV45" "Gosforth" 2018 7 20 6.03 "244" 39
"36" 1180 "S" "MV35" "Gosforth" 2018 7 20 6.03 "244" 39
"37" 691 "F" "Msen" "Gosforth" 2018 7 20 6.03 "244" 34.0166666666667
"38" 169 "F" "Msen" "Gosforth" 2018 7 20 6.03 "244" 34.0333333333333
"39" 98 "S" "MV45" "Gosforth" 2018 7 20 6.03 "244" 39.05
"40" 1381 "M" "MV40" "Gosforth" 2018 7 20 6.03 "244" 36.55
"41" 310 "S" "MV50" "Gosforth" 2018 7 20 6.03 "244" 39.05
"42" 77 "M" "Msen" "Gosforth" 2018 7 20 6.03 "244" 36.5833333333333
"43" 827 "M" "MV35" "Gosforth" 2018 7 20 6.03 "244" 36.6166666666667
"44" 504 "F" "MV35" "Gosforth" 2018 7 20 6.03 "244" 34.1166666666667
"45" 23 "S" "MV45" "Gosforth" 2018 7 20 6.03 "244" 39.15
"46" 644 "S" "MV40" "Gosforth" 2018 7 20 6.03 "244" 39.15
"47" 580 "S" "MV35" "Gosforth" 2018 7 20 6.03 "244" 39.1666666666667
"48" 483 "S" "MV35" "Gosforth" 2018 7 20 6.03 "244" 39.1666666666667
"49" 1702 "S" "Msen" "Gosforth" 2018 7 20 6.03 "244" 39.1833333333333
